yr,brand,brandNm,corpNm,frcsCnt,newFrcsRgsCnt,ctrtEndCnt,ctrtCncltnCnt,nmChgCnt,open_rate,close_rate,avrgSlsAmt,avg_sales_eok,ar_unit_sales_manwon
2023,데일리에스프레소,데일리에스프레소(Daily espresso),데일리에스프레소,5,0,1,0,0,0.0,0.2,146833,1.46833,256.0
2024,데일리에스프레소,데일리에스프레소(Daily espresso),데일리에스프레소,5,0,0,0,1,0.0,0.0,147867,1.47867,0.0
2019,데일리오아시스,데일리오아시스,데일리오아시스,4,4,0,0,0,1.0,0.0,0,0.0,0.0
2020,데일리오아시스,데일리오아시스,(주)에이치케이컴퍼니,6,3,1,0,0,0.5,0.16666666666666666,0,0.0,0.0
2021,데일리오아시스,데일리오아시스,(주)에이치케이컴퍼니,9,5,2,0,1,0.5555555555555556,0.2222222222222222,244138,2.44138,550.0
2022,데일리오아시스,데일리오아시스,(주)에이치케이컴퍼니,13,4,0,1,0,0.3076923076923077,0.07692307692307693,218790,2.1879,546.2
2023,데일리오아시스,데일리오아시스,(주)에이치케이컴퍼니,12,0,0,1,0,0.0,0.08333333333333333,305883,3.05883,779.8
2024,데일리오아시스,데일리오아시스,(주)에이치케이컴퍼니,11,1,1,1,0,0.09090909090909091,0.18181818181818182,409598,4.09598,1127.6
2021,데일리커피,데일리커피,데일리티(주),5,6,1,0,1,1.2,0.2,194113,1.94113,970.5
2022,데일리커피,데일리커피,데일리티(주),5,1,1,0,0,0.2,0.2,108754,1.08754,612.7
2017,델리뉴스,델리뉴스,(주)델리뉴스,7,0,1,0,2,0.0,0.14285714285714285,179573,1.79573,1381.3
2017,도노텀블,도노텀블,(주)도노텀블,10,8,2,0,0,0.8,0.2,0,0.0,0.0
2018,도노텀블,도노텀블,(주)도노텀블,11,3,2,0,0,0.2727272727272727,0.18181818181818182,0,0.0,0.0
2019,도노텀블,도노텀블,(주)도노텀블,11,4,4,0,1,0.36363636363636365,0.36363636363636365,86837,0.86837,381.5
2020,도노텀블,도노텀블,(주)도노텀블,16,6,2,0,1,0.375,0.125,128089,1.28089,524.4
2021,도노텀블,도노텀블,(주)도노텀블,14,1,1,2,4,0.07142857142857142,0.21428571428571427,94920,0.9492,408.7
2022,도노텀블,도노텀블,(주)도노텀블,10,1,2,3,0,0.1,0.5,98776,0.98776,497.1
2023,도노텀블,도노텀블,(주)도노텀블,8,0,1,1,0,0.0,0.25,103376,1.03376,490.1
2024,도노텀블,도노텀블,(주)도노텀블,5,0,2,1,0,0.0,0.6,108200,1.082,483.4
2020,도이창커피,도이창커피,(주)인티코프,1,1,0,0,0,1.0,0.0,0,0.0,0.0
2024,도케비커피,도케비커피(DoKKeB Coffee),㈜디케이비에프엔비,3,3,0,0,0,1.0,0.0,330560,3.3056,509.7
2022,동네커피,동네커피,동네컴퍼니,41,41,0,0,0,1.0,0.0,0,0.0,0.0
2023,동네커피,동네커피,동네컴퍼니,48,10,3,0,0,0.20833333333333334,0.0625,158761,1.58761,698.7
2024,동네커피,동네커피,동네컴퍼니,65,19,0,2,13,0.2923076923076923,0.03076923076923077,139236,1.39236,750.4
2023,동백다방,동백다방,베이커리카페동백다방,1,1,0,0,0,1.0,0.0,273100,2.731,975.3
2022,듀코비라운지,듀코비라운지,㈜듀코비,1,1,0,0,0,1.0,0.0,0,0.0,0.0
2023,듀코비라운지,듀코비라운지,㈜듀코비,1,1,0,0,0,1.0,0.0,0,0.0,0.0
2017,드롭탑,드롭탑(DROPTOP),(주)다도글로벌,209,21,12,4,21,0.10047846889952153,0.07655502392344497,263620,2.6362,462.4
2018,드롭탑,드롭탑(DROPTOP),(주)다도글로벌,221,34,16,6,26,0.15384615384615385,0.09954751131221719,264308,2.64308,522.7
2019,드롭탑,드롭탑(DROPTOP),(주)다도글로벌,228,34,21,6,22,0.14912280701754385,0.11842105263157894,246049,2.46049,506.7
2021,드롭탑,드롭탑(DROPTOP),(주)다도글로벌,215,17,20,6,45,0.07906976744186046,0.12093023255813953,177334,1.77334,392.9
2023,드롭탑,드롭탑(DROPTOP),(주)다도글로벌,202,30,0,34,12,0.1485148514851485,0.16831683168316833,231698,2.31698,470.3
2024,드롭탑,드롭탑(DROPTOP),(주)다도글로벌,169,14,24,23,21,0.08284023668639054,0.2781065088757396,272134,2.72134,869.0
2022,드림커피,드림커피,랜드유통,2,2,0,0,0,1.0,0.0,0,0.0,0.0
2017,드립앤더치,드립앤더치,연두커피인터내셔날(주),6,1,1,0,0,0.16666666666666666,0.16666666666666666,644281,6.44281,2884.8
2018,드립앤더치,드립앤더치,연두커피인터내셔날(주),5,0,0,2,0,0.0,0.4,475112,4.75112,1931.4
